################################################
# A 3-D crustal shear wave velocity model in the Banda Arc collision zone from ambient noise tomography
# Please cite the original work behind this Earth model in the following:
# Zhang, P., and Miller, M.S., (2020) Seismic imaging of the subducted Australian Continental Margin beneath Timor and the Banda Arc collision zone, Accepted by GRL on November 24, 2020
####
# longitude	latitude	depth(km)	Vsv(km/s)
  120.000   -9.500    0.000    2.781
  120.000   -9.750    0.000    3.073
  120.000  -10.000    0.000    3.074
  120.000  -10.250    0.000    3.019
  120.000  -10.500    0.000    3.006
  120.000  -10.750    0.000    2.999
  120.000  -11.000    0.000    2.998
  120.000  -11.250    0.000    3.000
  120.250   -7.500    0.000    3.000
  120.250   -7.750    0.000    3.007
  120.250   -8.000    0.000    3.019
  120.250   -8.250    0.000    3.081
  120.250   -8.500    0.000    3.142
  120.250   -8.750    0.000    2.861
  120.250   -9.000    0.000    3.031
  120.250   -9.250    0.000    2.769
  120.250   -9.500    0.000    2.836
  120.250   -9.750    0.000    3.363
  120.250  -10.000    0.000    3.092
  120.250  -10.250    0.000    3.020
  120.250  -10.500    0.000    3.008
  120.250  -10.750    0.000    3.001
  120.250  -11.000    0.000    2.999
  120.250  -11.250    0.000    3.000
  120.500   -7.500    0.000    3.000
  120.500   -7.750    0.000    3.009
  120.500   -8.000    0.000    3.020
  120.500   -8.250    0.000    3.085
  120.500   -8.500    0.000    3.169
  120.500   -8.750    0.000    2.867
  120.500   -9.000    0.000    3.258
  120.500   -9.250    0.000    2.803
  120.500   -9.500    0.000    2.956
  120.500   -9.750    0.000    3.176
  120.500  -10.000    0.000    2.979
  120.500  -10.250    0.000    3.000
  120.500  -10.500    0.000    3.002
  120.500  -10.750    0.000    2.999
  120.500  -11.000    0.000    2.999
  120.500  -11.250    0.000    3.000
  120.750   -7.500    0.000    3.000
  120.750   -7.750    0.000    3.010
  120.750   -8.000    0.000    3.022
  120.750   -8.250    0.000    3.103
  120.750   -8.500    0.000    3.325
  120.750   -8.750    0.000    2.720
  120.750   -9.000    0.000    3.161
  120.750   -9.250    0.000    2.908
  120.750   -9.500    0.000    3.044
  120.750   -9.750    0.000    2.852
  120.750  -10.000    0.000    2.816
  120.750  -10.250    0.000    2.962
  120.750  -10.500    0.000    2.991
  120.750  -10.750    0.000    2.993
  120.750  -11.000    0.000    2.996
  120.750  -11.250    0.000    3.000
  121.000   -7.500    0.000    3.000
  121.000   -7.750    0.000    3.011
  121.000   -8.000    0.000    3.029
  121.000   -8.250    0.000    3.105
  121.000   -8.500    0.000    3.346
  121.000   -8.750    0.000    2.500
  121.000   -9.000    0.000    2.899
  121.000   -9.250    0.000    2.801
  121.000   -9.500    0.000    3.218
  121.000   -9.750    0.000    3.122
  121.000  -10.000    0.000    2.836
  121.000  -10.250    0.000    2.910
  121.000  -10.500    0.000    2.978
  121.000  -10.750    0.000    2.986
  121.000  -11.000    0.000    2.992
  121.000  -11.250    0.000    3.000
  121.250   -7.500    0.000    3.000
  121.250   -7.750    0.000    3.010
  121.250   -8.000    0.000    3.030
  121.250   -8.250    0.000    3.080
  121.250   -8.500    0.000    3.282
  121.250   -8.750    0.000    2.865
  121.250   -9.000    0.000    2.983
  121.250   -9.250    0.000    2.520
  121.250   -9.500    0.000    3.127
  121.250   -9.750    0.000    3.273
  121.250  -10.000    0.000    3.024
  121.250  -10.250    0.000    2.861
  121.250  -10.500    0.000    2.951
  121.250  -10.750    0.000    2.980
  121.250  -11.000    0.000    2.989
  121.250  -11.250    0.000    3.000
  121.500   -7.500    0.000    3.000
  121.500   -7.750    0.000    3.006
